Which stage of life best describes you right now?,What is your age group?,How often do you feel unsure or confused while making everyday decisions?,What kind of decisions do you usually overthink the most?,"When you’re stuck on a decision, what do you usually do first?",How often do you feel overwhelmed by having too many choices?,How comfortable are you taking risks when making decisions?,What matters most to you when making important decisions?,What frustrates you most while making an important decision?,"If an AI could help you make decisions, what would you want it to do?","How important is it for AI suggestions to be ethical, unbiased, and responsible?",How would you prefer AI recommendations to be presented?,What would make you not trust an AI decision support tool?,"In one line, what does “making the right decision” mean to you?",FrustrationScore,RiskScore_raw,RiskScore,RiskCategory
Family & responsibility phase,Above 30,3.0,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),4,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Too many options","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Short explanations with reasoning,If there is no data supporting or rational,Decision whcih helps in meeting end objective,2,3.05,62.71186440677965,Moderate
Student / Exploring education and career options,18–21,2.0,Personal or relationship decisions,Ask friends or family,3,3,Long-term outcomes,Fear of making the wrong choice,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Short explanations with reasoning,"I would not trust an AI decision-support tool if one or more of the following conditions are present:  1. **Lack of transparency** – If the model cannot explain *why* it produced a recommendation (no interpretable logic, features, or rationale), it is unsafe for critical decisions.  2. **Poor or biased data** – If the training data are outdated, incomplete, unrepresentative, or known to contain systematic bias, the outputs will reliably propagate those flaws.  3. **No validation or performance evidence** – Absence of documented accuracy, error rates, confidence intervals, or real-world testing makes the tool unreliable.  4. **Domain mismatch** – If the AI is used outside the conditions it was trained for (different population, geography, regulations, or scale), its conclusions cannot be trusted.  5. **No uncertainty reporting** – Tools that provide single “confident” answers without probabilities, ranges, or risk estimates encourage over-reliance and are dangerous.  6. **Inability to handle edge cases** – If the system fails silently or behaves unpredictably for rare, extreme, or novel inputs, it is unfit for decision support.  7. **Lack of human oversight** – Any system designed to replace expert judgment rather than *support* it (no review, override, or audit mechanism) is a red flag.  8. **Weak governance and accountability** – If it is unclear who is responsible for errors, updates, monitoring, and harm mitigation, trust should be low.  9. **Security and data integrity issues** – Vulnerability to data leakage, adversarial manipulation, or unverified inputs undermines reliability.  10. **History of uncorrected failures** – Repeated errors without transparent fixes or post-mortems indicate poor lifecycle management.  **In short:** if an AI tool cannot justify its reasoning, quantify its uncertainty, demonstrate validated performance, and operate under clear human control, it should not be trusted for decision support—especially in high-stakes contexts.","**Making the right decision means choosing the option that best balances evidence, ethics, and long-term consequences under the given constraints.",1,2.4,40.67796610169491,Moderate
Family & responsibility phase,Above 30,,Financial or purchase decisions,Delay the decision,2,3,Long-term outcomes,"Not knowing possible outcomes, Too many options","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Visual outcomes or scenarios,"Sponsorship, affiliation, and conflict of interests",A process that matures with experience,2,1.9499999999999997,25.423728813559315,Low
Student / Exploring education and career options,18–21,3.0,Career or education choices,Search online (Google / social media),3,3,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Too many options",Break the decision into simple steps,Important,Simple step-by-step guidance,If I don't like their answer,If I like the answers,3,3.0,61.01694915254237,Moderate
Family & responsibility phase,22–25,,Personal or relationship decisions,Ask friends or family,1,3,Other,Lack of confidence,Compare different options clearly,Not important,Simple step-by-step guidance,Not ,Just Go with the flow ,1,1.4999999999999998,10.169491525423723,Low
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Make a pros and cons list,2,1,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,Important,Simple step-by-step guidance,Hallucinations ,Long term success ,1,1.6500000000000001,15.254237288135597,Low
Early career / Building professional experience,22–25,3.0,"Career or education choices, Personal or relationship decisions",Search online (Google / social media),3,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others","Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Simple step-by-step guidance,biased opinion,something that benefits my well being with minimum downsides and harm to others,3,3.0,61.01694915254237,Moderate
Independent adult / Managing personal and financial decisions,Above 30,3.0,Personal or relationship decisions,Go with my gut feeling,2,5,Long-term outcomes,Fear of making the wrong choice,"Compare different options clearly, Personalize advice based on my situation",Extremely important,Short explanations with reasoning,Too generic answers ,Inner Peace,1,3.0500000000000003,62.71186440677967,Moderate
Early career / Building professional experience,18–21,2.0,I generally don’t overthink decisions,Go with my gut feeling,2,1,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes",Personalize advice based on my situation,Extremely important,Visual outcomes or scenarios,Because AI decision support tool couldn’t analyse the situation and emotions of us which is a major drawback. ,"For me, making the right decision means comparing all the options and choosing the option which would be ethical and beneficial for me than the other options.",2,1.65,15.254237288135592,Low
Independent adult / Managing personal and financial decisions,Above 30,2.0,I generally don’t overthink decisions,Go with my gut feeling,2,3,Short-term convenience,Too many options,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Short explanations with reasoning,"Real time situations and practical issues in implementation, others opinion and behaviour ",Making right decisions makes the life easy and avoids future issues ,1,2.15,32.20338983050847,Low
Family & responsibility phase,Above 30,,I generally don’t overthink decisions,Ask friends or family,1,3,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,Not important,Short explanations with reasoning,1) lack of transparency  2) inconsistent result,Right decision means ethical and long term positive outcomes.,1,1.4999999999999998,10.169491525423723,Low
Early career / Building professional experience,18–21,3.0,Financial or purchase decisions,Go with my gut feeling,2,3,Avoiding mistakes / minimizing risk,Conflicting advice from others,Compare different options clearly,Slightly important,Clear comparison of options,Human brain ,Positive outcomes ,1,2.35,38.983050847457626,Low
Student / Exploring education and career options,18–21,4.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Delay the decision,2,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others, Lack of confidence",Explain why a suggestion is given,Extremely important,Short explanations with reasoning,The AI part,Idk,4,3.1499999999999995,66.10169491525421,Moderate
Independent adult / Managing personal and financial decisions,22–25,4.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Ask friends or family,4,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Clear comparison of options,"If the tool agree with everything I propose. If the tool only understands good and bad or black and white. Human problems are sometimes beyond black and white and the answer lies in the grey area. So if a tool can do that understand that, I would like to use it. ",Decision that leads to the best outcomes with least opportunity cost out all the options available. ,3,3.4499999999999997,76.27118644067797,High
Student / Exploring education and career options,18–21,3.0,Personal or relationship decisions,Search online (Google / social media),3,3,Short-term convenience,Lack of confidence,"Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Important,Clear comparison of options,When it agrees with everything,.,1,2.6,47.45762711864407,Moderate
Student / Exploring education and career options,Below 18,3.0,Career or education choices,Search online (Google / social media),2,2,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,Slightly important,Clear comparison of options,AI is always on your side and not put the clear and real options ,Straight to the point and know the outcome of the decision ,1,2.0,27.11864406779661,Low
Life transition / Re-evaluating goals,Above 30,4.0,I generally don’t overthink decisions,Go with my gut feeling,3,3,Long-term outcomes,Conflicting advice from others,Compare different options clearly,Important,Clear comparison of options,Personal data exploitation ,Positive outcome,1,2.8,54.23728813559321,Moderate
Student / Exploring education and career options,Below 18,3.0,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),2,3,Short-term convenience,Not knowing possible outcomes,Compare different options clearly,Important,Clear comparison of options,It's not a human mind and don't have emotions ,How was the past and how will be the future ... ,1,2.35,38.983050847457626,Low
Student / Exploring education and career options,18–21,4.0,Career or education choices,Ask friends or family,3,1,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,Important,Clear comparison of options,If it simply suggestions without knowing the corns that we might face in future,Giving clarity and never having doubt in yaking that decision,1,2.1,30.508474576271187,Low
Student / Exploring education and career options,Below 18,3.0,Personal or relationship decisions,Search online (Google / social media),2,4,Short-term convenience,Conflicting advice from others,Break the decision into simple steps,Extremely important,Simple step-by-step guidance,Because they can't give an accurate solution ,To know her past ,1,2.7,50.84745762711865,Moderate
Family & responsibility phase,Above 30,3.0,Health or lifestyle choices,Ask friends or family,4,2,Long-term outcomes,Too many options,Break the decision into simple steps,Extremely important,Simple step-by-step guidance,Sometimes it makes errors.,According to conditions every decision taken  is right.  ,1,2.5,44.06779661016949,Moderate
Early career / Building professional experience,22–25,3.0,Career or education choices,Ask friends or family,3,3,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Compare different options clearly",Slightly important,Clear comparison of options,"Inconsistent results, biased outputs","Making the right decision means choosing the option that best aligns with the available evidence, ethical principles, and long-term impact, even if it isn’t the easiest or most convenient in the moment.",1,2.6,47.45762711864407,Moderate
Independent adult / Managing personal and financial decisions,Above 30,2.0,Personal or relationship decisions,Go with my gut feeling,2,3,Long-term outcomes,Lack of confidence,Show risks and possible outcomes,Important,Clear comparison of options,Sometimes give good decision but sometimes stuck ,Gut feeling is right decision ,1,2.15,32.20338983050847,Low
Life transition / Re-evaluating goals,Above 30,3.0,Financial or purchase decisions,Ask friends or family,4,2,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Compare different options clearly,Not important,Simple step-by-step guidance,If its complicated,Simple and trustworthy ,1,2.5,44.06779661016949,Moderate
Independent adult / Managing personal and financial decisions,Above 30,2.0,I generally don’t overthink decisions,Ask friends or family,2,3,Avoiding mistakes / minimizing risk,Conflicting advice from others,Personalize advice based on my situation,Important,Simple step-by-step guidance,It blocks our thought process ,Correct decision in correct time according to situation ,1,2.15,32.20338983050847,Low
Life transition / Re-evaluating goals,Above 30,3.0,I generally don’t overthink decisions,Make a pros and cons list,3,2,Long-term outcomes,Not knowing possible outcomes,"Compare different options clearly, Personalize advice based on my situation",Important,Simple step-by-step guidance,There is no human oversight or accountability for its decisions.,"“Making the right decision means choosing the option that is ethical, well-informed, and has the best long-term outcom",1,2.25,35.59322033898305,Low
Family & responsibility phase,Above 30,3.0,Financial or purchase decisions,Ask friends or family,2,3,Long-term outcomes,Fear of making the wrong choice,Compare different options clearly,Slightly important,Visual outcomes or scenarios,Ai is not 100 % perfect ,Right decision for right purpose ,1,2.35,38.983050847457626,Low
Early career / Building professional experience,22–25,3.0,"Financial or purchase decisions, Personal or relationship decisions",Ask friends or family,3,3,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes","Compare different options clearly, Personalize advice based on my situation",Extremely important,Simple step-by-step guidance,If my information is being shared with the third party.,Important ,2,2.8,54.23728813559321,Moderate
Student / Exploring education and career options,Below 18,3.0,Career or education choices,Go with my gut feeling,2,2,Avoiding mistakes / minimizing risk,Too many options,Show risks and possible outcomes,Slightly important,Visual outcomes or scenarios,It shares our data to another websites ,"What i like to do i do ,i dont think of the output",1,2.0,27.11864406779661,Low
Student / Exploring education and career options,Below 18,4.0,Financial or purchase decisions,Search online (Google / social media),3,3,Short-term convenience,Fear of making the wrong choice,Compare different options clearly,Slightly important,Clear comparison of options,It can’t be trusted because it is not transparent ,Thinking of the output it causes ,1,2.8,54.23728813559321,Moderate
Student / Exploring education and career options,18–21,2.0,"Career or education choices, Personal or relationship decisions",Ask friends or family,3,2,Long-term outcomes,Not knowing possible outcomes,"Break the decision into simple steps, Show risks and possible outcomes",Important,Clear comparison of options,..,..,1,2.0500000000000003,28.813559322033903,Low
Student / Exploring education and career options,Below 18,3.0,"Career or education choices, Financial or purchase decisions",Search online (Google / social media),3,2,Short-term convenience,Fear of making the wrong choice,Compare different options clearly,Slightly important,Visual outcomes or scenarios,I never used it ,Thinking of the risks involved ,1,2.25,35.59322033898305,Low
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Financial or purchase decisions",Search online (Google / social media),3,3,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Break the decision into simple steps,Slightly important,Simple step-by-step guidance,Because of privacy ,Abou the outcomes of ai,1,2.6,47.45762711864407,Moderate
Family & responsibility phase,Above 30,3.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Go with my gut feeling,2,1,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Important,Simple step-by-step guidance,"Lack of transparency about how it works, biased suggestions, or advice that clearly ignores my context.","Choosing an option that aligns with my values, considers long-term outcomes, and feels responsible even if the result is uncertain.",2,1.85,22.033898305084747,Low
Early career / Building professional experience,22–25,3.0,"Career or education choices, Personal or relationship decisions, Health or lifestyle choices",Delay the decision,2,2,Long-term outcomes,"Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Simple step-by-step guidance,If it changes the response if asked twice. ,Knowing all the pros and cons and then choosing.,2,2.2,33.898305084745765,Low
Student / Exploring education and career options,Below 18,3.0,I generally don’t overthink decisions,Go with my gut feeling,3,2,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes","Break the decision into simple steps, Show risks and possible outcomes",Not important,Simple step-by-step guidance," lack of transparency, questionable reliability","choosing the path that aligns with my core values and long-term growth, even when it is difficult or uncomfortable. ",2,2.4499999999999997,42.37288135593219,Moderate
Life transition / Re-evaluating goals,Below 18,3.0,"Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),4,3,Avoiding mistakes / minimizing risk,"Too many options, Conflicting advice from others","Break the decision into simple steps, Explain why a suggestion is given",Important,Visual outcomes or scenarios,I take advice form human and overthink,A good opinion ,2,3.05,62.71186440677965,Moderate
Independent adult / Managing personal and financial decisions,Above 30,2.0,"Career or education choices, I generally don’t overthink decisions",Make a pros and cons list,3,5,Long-term outcomes,Not knowing possible outcomes,Show risks and possible outcomes,Extremely important,Visual outcomes or scenarios,if it doesn't give correct answer according to human requirement.,right decision means getting growth in all areas of life and reaches to the next level.,1,3.1,64.40677966101696,Moderate
Student / Exploring education and career options,18–21,2.0,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),3,2,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Extremely important,Simple step-by-step guidance,idk,minimising risks ,3,2.45,42.37288135593221,Moderate
Student / Exploring education and career options,Below 18,3.0,"Career or education choices, Health or lifestyle choices",Delay the decision,2,1,Long-term outcomes,Not knowing possible outcomes,Break the decision into simple steps,Extremely important,Simple step-by-step guidance,Wrong opinion,Profitable to me,1,1.6500000000000001,15.254237288135597,Low
Family & responsibility phase,Above 30,2.0,I generally don’t overthink decisions,Ask friends or family,2,4,Avoiding mistakes / minimizing risk,Too many options,Break the decision into simple steps,Not important,Simple step-by-step guidance,"Lack of transparency,  unreliability and ethical concern",Great decision-making comes from the ability to create the time and space to think rationally about the issue,1,2.5,44.06779661016949,Moderate
Family & responsibility phase,Above 30,,I generally don’t overthink decisions,Delay the decision,1,3,Opinions of others,Not knowing possible outcomes,Personalize advice based on my situation,Not important,Simple step-by-step guidance,"Lack of transparency,  unreliability and ethical concern",Choosing the path aligns with your core values and long term goals,1,1.4999999999999998,10.169491525423723,Low
Early career / Building professional experience,Above 30,2.0,Financial or purchase decisions,Ask friends or family,2,3,Long-term outcomes,Too many options,Break the decision into simple steps,Important,Simple step-by-step guidance,"Lack of transparency, unreliability and ethical concerns","The only way to make decision is to find out which is the wrong decision, to examine that other path without fear, and only then decide",1,2.15,32.20338983050847,Low
Student / Exploring education and career options,22–25,4.0,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),4,5,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation",Important,Clear comparison of options,Relationship issues ,Knowing all consequences ,3,4.15,100.0,High
Early career / Building professional experience,26–30,3.0,Health or lifestyle choices,Search online (Google / social media),2,2,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation",Extremely important,Visual outcomes or scenarios,Failing under pressure testing and weak citations.,After reviewing all options and comparing them thoroughly ,2,2.2,33.898305084745765,Low
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Personal or relationship decisions",Go with my gut feeling,3,2,Long-term outcomes,"Not knowing possible outcomes, Too many options","Show risks and possible outcomes, Compare different options clearly",Not important,Clear comparison of options,Make important emotional decisions,i should feel it right in my gut,2,2.4499999999999997,42.37288135593219,Moderate
Independent adult / Managing personal and financial decisions,Above 30,2.0,Health or lifestyle choices,Search online (Google / social media),1,4,Long-term outcomes,Fear of making the wrong choice,Compare different options clearly,Extremely important,Simple step-by-step guidance,Can't understand the problem exactly ,It's very important. ,1,2.25,35.59322033898305,Low
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Personal or relationship decisions",Ask friends or family,2,3,Long-term outcomes,"Fear of making the wrong choice, Too many options","Show risks and possible outcomes, Compare different options clearly",Extremely important,Clear comparison of options,"biases response, unaware of the full picture before answering",choosing a decision with the best possible outcome,2,2.55,45.762711864406775,Moderate
Family & responsibility phase,Above 30,3.0,"Personal or relationship decisions, Health or lifestyle choices",Go with my gut feeling,3,3,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Personalize advice based on my situation",Extremely important,Simple step-by-step guidance,It is only a machine oriented tool or kind of robotic tool. It cannot be able to explain the human sycology. ,Positive Outcomes ,1,2.6,47.45762711864407,Moderate
Student / Exploring education and career options,Below 18,3.0,Career or education choices,Go with my gut feeling,3,3,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,Extremely important,Simple step-by-step guidance,If the AI is not giving an appropriate reason and not have enough knowledge of my question,That you should see all the possible outcomes the pro and cons and also that is the decision worth it and will benifit me ,1,2.6,47.45762711864407,Moderate
Family & responsibility phase,Above 30,2.0,I generally don’t overthink decisions,Ask friends or family,1,3,Avoiding mistakes / minimizing risk,Conflicting advice from others,Compare different options clearly,Slightly important,Short explanations with reasoning,Unclear and biased information ,Deciding wisely ,1,1.8999999999999997,23.728813559322024,Low
Student / Exploring education and career options,18–21,3.0,"Career or education choices, Financial or purchase decisions",Search online (Google / social media),2,2,Long-term outcomes,Fear of making the wrong choice,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly",Extremely important,Clear comparison of options,"I wouldn’t trust an AI decision support tool if it couldn’t explain its reasoning, showed clear bias, made inconsistent recommendations, or relied on outdated or low-quality data. Lack of transparency, poor accuracy, weak privacy protections, and no human oversight would also make me question its reliability and overall credibility.","Making the right decision means choosing the option that best aligns with my values, goals, and available evidence while considering the long-term impact.",1,2.0,27.11864406779661,Low
Independent adult / Managing personal and financial decisions,Above 30,3.0,I generally don’t overthink decisions,Make a pros and cons list,2,3,Long-term outcomes,Too many options,"Show risks and possible outcomes, Compare different options clearly",Extremely important,Clear comparison of options,If AI tool does not compare risk & rewards,One must have proper reason to back his or her decisions. ,1,2.35,38.983050847457626,Low
Student / Exploring education and career options,Below 18,3.0,"Career or education choices, Financial or purchase decisions",Go with my gut feeling,3,3,Long-term outcomes,"Fear of making the wrong choice, Too many options","Show risks and possible outcomes, Compare different options clearly",Important,Clear comparison of options,nothing,.,2,2.8,54.23728813559321,Moderate
Student / Exploring education and career options,Below 18,2.0,Health or lifestyle choices,Make a pros and cons list,3,1,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Compare different options clearly",Extremely important,Clear comparison of options,When it doesn't give me a logical reason for the option it suggests.,Not regretting it later,1,1.7,16.94915254237288,Low
Student / Exploring education and career options,Below 18,2.0,I generally don’t overthink decisions,Ask friends or family,1,2,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation",Extremely important,Clear comparison of options,"If it is biased towards particular topics for eg bias regarding political issues, governance ",Having all the outcomes set and clear ,2,1.75,18.64406779661017,Low
Student / Exploring education and career options,Below 18,3.0,Career or education choices,Search online (Google / social media),3,3,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Show risks and possible outcomes,Important,Simple step-by-step guidance,Idk,Future outcomes is positive ,1,2.6,47.45762711864407,Moderate
Student / Exploring education and career options,Below 18,3.0,Career or education choices,Delay the decision,3,2,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others",Show risks and possible outcomes,Important,Visual outcomes or scenarios,If it agrees with me all the time,"The right decision is the one that aligns with who I want to become and allows me to live with it peacefully, without regret.",2,2.4499999999999997,42.37288135593219,Moderate
Student / Exploring education and career options,Below 18,3.0,Career or education choices,Go with my gut feeling,2,3,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,Important,Simple step-by-step guidance,Biased or inaccurate outputs,Best possible outcomes,1,2.35,38.983050847457626,Low
Student / Exploring education and career options,Above 30,,Personal or relationship decisions,Ask friends or family,3,5,Long-term outcomes,Fear of making the wrong choice,Explain why a suggestion is given,Important,Clear comparison of options,At present not aware of AI,Final result ,1,2.7,50.84745762711865,Moderate
Student / Exploring education and career options,Below 18,3.0,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),2,2,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Compare different options clearly,Extremely important,Visual outcomes or scenarios,If it's ambiguous and giving different answers of the same situation if asked after a while,Committing to smth,1,2.0,27.11864406779661,Low
Family & responsibility phase,Above 30,3.0,Personal or relationship decisions,Ask friends or family,3,3,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Break the decision into simple steps,Extremely important,Simple step-by-step guidance,If it is bias and impractical ,Something which can simplify decision making ,1,2.6,47.45762711864407,Moderate
Family & responsibility phase,Above 30,3.0,Personal or relationship decisions,Go with my gut feeling,2,3,Opinions of others,Not knowing possible outcomes,Personalize advice based on my situation,Extremely important,Simple step-by-step guidance,Ai is artificial intelligence so i dont completely trust it,Making the right decisions mean taking a descision after know all the pros and cons,1,2.35,38.983050847457626,Low
Family & responsibility phase,Above 30,3.0,Financial or purchase decisions,Search online (Google / social media),1,3,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Compare different options clearly,Extremely important,Simple step-by-step guidance,Not having emotions and feelings unlike humans,Living life in a constructive way,1,2.1,30.508474576271187,Low
Independent adult / Managing personal and financial decisions,Above 30,3.0,Personal or relationship decisions,Make a pros and cons list,2,2,Avoiding mistakes / minimizing risk,Conflicting advice from others,Personalize advice based on my situation,Extremely important,Simple step-by-step guidance,Lack of transparency or explainability regarding how the AI reached its conclusion would be the primary reason to distrust it.,It means using the facts to pick the choice that does the most good and the least harm.,1,2.0,27.11864406779661,Low
Family & responsibility phase,26–30,3.0,I generally don’t overthink decisions,Search online (Google / social media),2,3,Long-term outcomes,Not knowing possible outcomes,Show risks and possible outcomes,Important,Clear comparison of options,.,Moving forward,1,2.35,38.983050847457626,Low
Early career / Building professional experience,22–25,4.0,Career or education choices,Delay the decision,3,2,Long-term outcomes,Fear of making the wrong choice,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Important,Simple step-by-step guidance,Too many confusing options,Give long term goal a direction ,1,2.45,42.37288135593221,Moderate
Student / Exploring education and career options,Below 18,3.0,Career or education choices,Go with my gut feeling,3,3,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,Extremely important,Visual outcomes or scenarios,"Lack of transparency, accountability, and accuracy","Making the right decision means choosing a course of action that aligns with your values, produces the best possible outcome given the available information, and can be justified ethically and logically.",1,2.6,47.45762711864407,Moderate
Student / Exploring education and career options,Below 18,2.0,Career or education choices,Ask friends or family,2,3,Other,"Fear of making the wrong choice, Not knowing possible outcomes","Show risks and possible outcomes, Compare different options clearly",Extremely important,Visual outcomes or scenarios,It does not have emotions and haven't unlocked deep emotional learning yet ,Having a proper knowledge and possible outcome of that decision with no regression ,2,2.3499999999999996,38.98305084745761,Low
Student / Exploring education and career options,Below 18,3.0,"Career or education choices, Financial or purchase decisions",Go with my gut feeling,2,3,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others","Compare different options clearly, Personalize advice based on my situation",Extremely important,Clear comparison of options,Reviews and if the answer given is top generalized ,The after consequences ,2,2.55,45.762711864406775,Moderate
Student / Exploring education and career options,Below 18,3.0,Career or education choices,Ask friends or family,2,2,Long-term outcomes,Fear of making the wrong choice,Compare different options clearly,Extremely important,Clear comparison of options,That it would not tell me my mistakes and wrong decisions and instead would only praise me,On which i have confidence and i am sure that i will bear its good as well as bad consequences,1,2.0,27.11864406779661,Low
Student / Exploring education and career options,Below 18,4.0,"Career or education choices, Personal or relationship decisions",Go with my gut feeling,4,3,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Break the decision into simple steps, Compare different options clearly, Personalize advice based on my situation",Extremely important,Simple step-by-step guidance,Making wrong decision ,"choosing a path aligned with your core values, long-term goals, and well-being, even if it causes temporary discomfort.",3,3.4499999999999997,76.27118644067797,High
Student / Exploring education and career options,Below 18,3.0,Career or education choices,Ask friends or family,3,2,Long-term outcomes,Too many options,Explain why a suggestion is given,Slightly important,Simple step-by-step guidance,Some time it happens with me when I do not trust ai decisions ,To give me an appropriate answer of the question ,1,2.25,35.59322033898305,Low
Student / Exploring education and career options,18–21,3.0,I generally don’t overthink decisions,Delay the decision,4,5,Avoiding mistakes / minimizing risk,Lack of confidence,Explain why a suggestion is given,Not important,Clear comparison of options,Yes I not trust on AI,I not trust you ,1,3.5500000000000003,79.66101694915255,High
Life transition / Re-evaluating goals,Below 18,2.0,Personal or relationship decisions,Search online (Google / social media),4,4,Long-term outcomes,Not knowing possible outcomes,Compare different options clearly,Slightly important,Simple step-by-step guidance,I dnt know,Good outcome,1,3.0,61.01694915254237,Moderate
