Timestamp,Which stage of life best describes you right now?,  What is your age group?  ,How often do you feel unsure or confused while making everyday decisions?  ,What kind of decisions do you usually overthink the most?  ,"When you’re stuck on a decision, what do you usually do first?  ",How often do you feel overwhelmed by having too many choices?  ,How comfortable are you taking risks when making decisions?  ,What matters most to you when making important decisions?  ,What frustrates you most while making an important decision?  ,"If an AI could help you make decisions, what would you want it to do?  ",Would you trust an AI system that explains its reasoning instead of just giving answers?  ,"How important is it for AI suggestions to be ethical, unbiased, and responsible?", How would you prefer AI recommendations to be presented?  ,What would make you not trust an AI decision support tool?  ,"In one line, what does “making the right decision” mean to you?  "
2/11/2026 4:53:10,Student / Exploring education and career options,Above 30,Sometimes,Career or education choices,Ask friends or family,Sometimes,I prefer to play it safe,Long-term outcomes,Not knowing possible outcomes,Compare different options clearly,Not sure,Important,Clear comparison of options,.,.
2/11/2026 7:28:55,Family & responsibility phase,Above 30,Sometimes,I generally don’t overthink decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,"Maybe, if it’s transparent",Extremely important,Clear comparison of options,Lack of emotion,Feasible
2/11/2026 7:46:42,Life transition / Re-evaluating goals,18–21,Very often,"Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),Rarely,I love taking risks,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,Not sure,Extremely important,Clear comparison of options,"AI may give advice, but the decision of what’s right or wrong is mine",Choosing what aligns with your values and owning the outcome
2/11/2026 7:47:06,Others,Above 30,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Sometimes,I’m okay with moderate risks,Long-term outcomes,Conflicting advice from others,Show risks and possible outcomes,"Yes, definitely",Extremely important,Simple step-by-step guidance,If it is biased or talking only about one option. AI should give pros and cons of all options in a fair way. As decision has to be done by me ,Selecting the best option based on desired outcomes
2/11/2026 7:49:05,Student / Exploring education and career options,18–21,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Rarely,It depends on the situation,Long-term outcomes,Conflicting advice from others,"Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Extremely important,Clear comparison of options,Favoring something or someone while ditching the other,Long term outcomes how  the decision will affect my upcoming life
2/11/2026 7:59:38,Family & responsibility phase,Above 30,Sometimes,I generally don’t overthink decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,"Not knowing possible outcomes, Conflicting advice from others","Compare different options clearly, Personalize advice based on my situation",Not sure,Important,Clear comparison of options,Its will always be biased,Shows how sincere you are in taking life challenges
2/11/2026 8:40:50,Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Ask friends or family,Often,I’m okay with moderate risks,Long-term outcomes,Not knowing possible outcomes,Show risks and possible outcomes,"Maybe, if it’s transparent",Important,Clear comparison of options,maybe biased decision ,"Making the right decision means choosing the option that best balances facts, ethics, and long-term impact for the people affected"
2/11/2026 8:41:35,Family & responsibility phase,Above 30,Sometimes,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),Almost always,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Too many options","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Yes, definitely",Extremely important,Short explanations with reasoning,If there is no data supporting or rational,Decision whcih helps in meeting end objective
2/11/2026 8:45:35,Student / Exploring education and career options,18–21,Rarely,Personal or relationship decisions,Ask friends or family,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Short explanations with reasoning,"I would not trust an AI decision-support tool if one or more of the following conditions are present:  1. **Lack of transparency** – If the model cannot explain *why* it produced a recommendation (no interpretable logic, features, or rationale), it is unsafe for critical decisions.  2. **Poor or biased data** – If the training data are outdated, incomplete, unrepresentative, or known to contain systematic bias, the outputs will reliably propagate those flaws.  3. **No validation or performance evidence** – Absence of documented accuracy, error rates, confidence intervals, or real-world testing makes the tool unreliable.  4. **Domain mismatch** – If the AI is used outside the conditions it was trained for (different population, geography, regulations, or scale), its conclusions cannot be trusted.  5. **No uncertainty reporting** – Tools that provide single “confident” answers without probabilities, ranges, or risk estimates encourage over-reliance and are dangerous.  6. **Inability to handle edge cases** – If the system fails silently or behaves unpredictably for rare, extreme, or novel inputs, it is unfit for decision support.  7. **Lack of human oversight** – Any system designed to replace expert judgment rather than *support* it (no review, override, or audit mechanism) is a red flag.  8. **Weak governance and accountability** – If it is unclear who is responsible for errors, updates, monitoring, and harm mitigation, trust should be low.  9. **Security and data integrity issues** – Vulnerability to data leakage, adversarial manipulation, or unverified inputs undermines reliability.  10. **History of uncorrected failures** – Repeated errors without transparent fixes or post-mortems indicate poor lifecycle management.  **In short:** if an AI tool cannot justify its reasoning, quantify its uncertainty, demonstrate validated performance, and operate under clear human control, it should not be trusted for decision support—especially in high-stakes contexts.","**Making the right decision means choosing the option that best balances evidence, ethics, and long-term consequences under the given constraints."
2/11/2026 8:48:53,Family & responsibility phase,Above 30,Almost Never,Financial or purchase decisions,Delay the decision,Sometimes,It depends on the situation,Long-term outcomes,"Not knowing possible outcomes, Too many options","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,"Sponsorship, affiliation, and conflict of interests",A process that matures with experience
2/11/2026 9:02:36,Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Search online (Google / social media),Often,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Too many options",Break the decision into simple steps,"Yes, definitely",Important,Simple step-by-step guidance,If I don't like their answer,If I like the answers
2/11/2026 9:13:35,Family & responsibility phase,22–25,Almost Never,Personal or relationship decisions,Ask friends or family,Rarely,It depends on the situation,Other,Lack of confidence,Compare different options clearly,Not sure,Not important,Simple step-by-step guidance,Not ,Just Go with the flow 
2/11/2026 9:29:18,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Make a pros and cons list,Sometimes,I love taking risks,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,"Yes, definitely",Important,Simple step-by-step guidance,Hallucinations ,Long term success 
2/11/2026 9:36:15,Early career / Building professional experience,22–25,Sometimes,"Career or education choices, Personal or relationship decisions",Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others","Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Yes, definitely",Extremely important,Simple step-by-step guidance,biased opinion,something that benefits my well being with minimum downsides and harm to others
2/11/2026 10:01:23,Independent adult / Managing personal and financial decisions,Above 30,Sometimes,Personal or relationship decisions,Go with my gut feeling,Sometimes,I avoid risks whenever possible,Long-term outcomes,Fear of making the wrong choice,"Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Short explanations with reasoning,Too generic answers ,Inner Peace
2/11/2026 10:16:01,Early career / Building professional experience,18–21,Rarely,I generally don’t overthink decisions,Go with my gut feeling,Sometimes,I love taking risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes",Personalize advice based on my situation,"Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,Because AI decision support tool couldn’t analyse the situation and emotions of us which is a major drawback. ,"For me, making the right decision means comparing all the options and choosing the option which would be ethical and beneficial for me than the other options."
2/11/2026 10:38:20,Independent adult / Managing personal and financial decisions,Above 30,Rarely,I generally don’t overthink decisions,Go with my gut feeling,Sometimes,It depends on the situation,Short-term convenience,Too many options,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Not sure,Extremely important,Short explanations with reasoning,"Real time situations and practical issues in implementation, others opinion and behaviour ",Making right decisions makes the life easy and avoids future issues 
2/11/2026 10:59:38,Family & responsibility phase,Above 30,Almost Never,I generally don’t overthink decisions,Ask friends or family,Rarely,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,"No, I prefer human advice",Not important,Short explanations with reasoning,1) lack of transparency  2) inconsistent result,Right decision means ethical and long term positive outcomes.
2/11/2026 12:19:34,Early career / Building professional experience,18–21,Sometimes,Financial or purchase decisions,Go with my gut feeling,Sometimes,It depends on the situation,Avoiding mistakes / minimizing risk,Conflicting advice from others,Compare different options clearly,"Maybe, if it’s transparent",Slightly important,Clear comparison of options,Human brain ,Positive outcomes 
2/11/2026 12:35:20,Student / Exploring education and career options,18–21,Very often,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Delay the decision,Sometimes,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others, Lack of confidence",Explain why a suggestion is given,"No, I prefer human advice",Extremely important,Short explanations with reasoning,The AI part,Idk
2/11/2026 12:38:22,Independent adult / Managing personal and financial decisions,22–25,Very often,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Ask friends or family,Almost always,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Clear comparison of options,"If the tool agree with everything I propose. If the tool only understands good and bad or black and white. Human problems are sometimes beyond black and white and the answer lies in the grey area. So if a tool can do that understand that, I would like to use it. ",Decision that leads to the best outcomes with least opportunity cost out all the options available. 
2/11/2026 12:42:45,Student / Exploring education and career options,18–21,Sometimes,Personal or relationship decisions,Search online (Google / social media),Often,It depends on the situation,Short-term convenience,Lack of confidence,"Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Yes, definitely",Important,Clear comparison of options,When it agrees with everything,.
2/11/2026 12:51:34,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Search online (Google / social media),Sometimes,I’m okay with moderate risks,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,"Maybe, if it’s transparent",Slightly important,Clear comparison of options,AI is always on your side and not put the clear and real options ,Straight to the point and know the outcome of the decision 
2/11/2026 12:59:11,Life transition / Re-evaluating goals,Above 30,Very often,I generally don’t overthink decisions,Go with my gut feeling,Often,It depends on the situation,Long-term outcomes,Conflicting advice from others,Compare different options clearly,"Maybe, if it’s transparent",Important,Clear comparison of options,Personal data exploitation ,Positive outcome
2/11/2026 12:59:38,Student / Exploring education and career options,Below 18,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Sometimes,It depends on the situation,Short-term convenience,Not knowing possible outcomes,Compare different options clearly,"Maybe, if it’s transparent",Important,Clear comparison of options,It's not a human mind and don't have emotions ,How was the past and how will be the future ... 
2/11/2026 13:02:15,Student / Exploring education and career options,18–21,Very often,Career or education choices,Ask friends or family,Often,I love taking risks,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,"Maybe, if it’s transparent",Important,Clear comparison of options,If it simply suggestions without knowing the corns that we might face in future,Giving clarity and never having doubt in yaking that decision
2/11/2026 13:05:46,Student / Exploring education and career options,Below 18,Sometimes,Personal or relationship decisions,Search online (Google / social media),Sometimes,I prefer to play it safe,Short-term convenience,Conflicting advice from others,Break the decision into simple steps,"Yes, definitely",Extremely important,Simple step-by-step guidance,Because they can't give an accurate solution ,To know her past 
2/11/2026 13:07:50,Family & responsibility phase,Above 30,Sometimes,Health or lifestyle choices,Ask friends or family,Almost always,I’m okay with moderate risks,Long-term outcomes,Too many options,Break the decision into simple steps,Not sure,Extremely important,Simple step-by-step guidance,Sometimes it makes errors.,According to conditions every decision taken  is right.  
2/11/2026 13:22:17,Early career / Building professional experience,22–25,Sometimes,Career or education choices,Ask friends or family,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Compare different options clearly","No, I prefer human advice",Slightly important,Clear comparison of options,"Inconsistent results, biased outputs","Making the right decision means choosing the option that best aligns with the available evidence, ethical principles, and long-term impact, even if it isn’t the easiest or most convenient in the moment."
2/11/2026 13:27:07,Independent adult / Managing personal and financial decisions,Above 30,Rarely,Personal or relationship decisions,Go with my gut feeling,Sometimes,It depends on the situation,Long-term outcomes,Lack of confidence,Show risks and possible outcomes,Not sure,Important,Clear comparison of options,Sometimes give good decision but sometimes stuck ,Gut feeling is right decision 
2/11/2026 13:59:42,Life transition / Re-evaluating goals,Above 30,Sometimes,Financial or purchase decisions,Ask friends or family,Almost always,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Compare different options clearly,Not sure,Not important,Simple step-by-step guidance,If its complicated,Simple and trustworthy 
2/11/2026 14:00:16,Independent adult / Managing personal and financial decisions,Above 30,Rarely,I generally don’t overthink decisions,Ask friends or family,Sometimes,It depends on the situation,Avoiding mistakes / minimizing risk,Conflicting advice from others,Personalize advice based on my situation,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,It blocks our thought process ,Correct decision in correct time according to situation 
2/11/2026 14:29:16,Life transition / Re-evaluating goals,Above 30,Sometimes,I generally don’t overthink decisions,Make a pros and cons list,Often,I’m okay with moderate risks,Long-term outcomes,Not knowing possible outcomes,"Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Important,Simple step-by-step guidance,There is no human oversight or accountability for its decisions.,"“Making the right decision means choosing the option that is ethical, well-informed, and has the best long-term outcom"
2/11/2026 14:36:25,Family & responsibility phase,Above 30,Sometimes,Financial or purchase decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Compare different options clearly,Not sure,Slightly important,Visual outcomes or scenarios,Ai is not 100 % perfect ,Right decision for right purpose 
2/11/2026 14:41:29,Early career / Building professional experience,22–25,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Ask friends or family,Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes","Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Simple step-by-step guidance,If my information is being shared with the third party.,Important 
2/11/2026 14:59:33,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Go with my gut feeling,Sometimes,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,Too many options,Show risks and possible outcomes,"Maybe, if it’s transparent",Slightly important,Visual outcomes or scenarios,It shares our data to another websites ,"What i like to do i do ,i dont think of the output"
2/11/2026 15:02:33,Student / Exploring education and career options,Below 18,Very often,Financial or purchase decisions,Search online (Google / social media),Often,It depends on the situation,Short-term convenience,Fear of making the wrong choice,Compare different options clearly,Not sure,Slightly important,Clear comparison of options,It can’t be trusted because it is not transparent ,Thinking of the output it causes 
2/11/2026 15:03:12,Student / Exploring education and career options,18–21,Rarely,"Career or education choices, Personal or relationship decisions",Ask friends or family,Often,I’m okay with moderate risks,Long-term outcomes,Not knowing possible outcomes,"Break the decision into simple steps, Show risks and possible outcomes","Maybe, if it’s transparent",Important,Clear comparison of options,..,..
2/11/2026 15:04:50,Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Financial or purchase decisions",Search online (Google / social media),Often,I’m okay with moderate risks,Short-term convenience,Fear of making the wrong choice,Compare different options clearly,"No, I prefer human advice",Slightly important,Visual outcomes or scenarios,I never used it ,Thinking of the risks involved 
2/11/2026 15:05:49,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions",Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Break the decision into simple steps,"Maybe, if it’s transparent",Slightly important,Simple step-by-step guidance,Because of privacy ,Abou the outcomes of ai
2/11/2026 15:36:47,Family & responsibility phase,Above 30,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Go with my gut feeling,Sometimes,I love taking risks,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Important,Simple step-by-step guidance,"Lack of transparency about how it works, biased suggestions, or advice that clearly ignores my context.","Choosing an option that aligns with my values, considers long-term outcomes, and feels responsible even if the result is uncertain."
2/11/2026 16:03:57,Early career / Building professional experience,22–25,Sometimes,"Career or education choices, Personal or relationship decisions, Health or lifestyle choices",Delay the decision,Sometimes,I’m okay with moderate risks,Long-term outcomes,"Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,If it changes the response if asked twice. ,Knowing all the pros and cons and then choosing.
2/11/2026 16:14:05,Student / Exploring education and career options,Below 18,Sometimes,I generally don’t overthink decisions,Go with my gut feeling,Often,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes","Break the decision into simple steps, Show risks and possible outcomes","Maybe, if it’s transparent",Not important,Simple step-by-step guidance," lack of transparency, questionable reliability","choosing the path that aligns with my core values and long-term growth, even when it is difficult or uncomfortable. "
2/11/2026 17:06:27,Life transition / Re-evaluating goals,Below 18,Sometimes,"Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),Almost always,It depends on the situation,Avoiding mistakes / minimizing risk,"Too many options, Conflicting advice from others","Break the decision into simple steps, Explain why a suggestion is given","Maybe, if it’s transparent",Important,Visual outcomes or scenarios,I take advice form human and overthink,A good opinion 
2/11/2026 17:19:06,Independent adult / Managing personal and financial decisions,Above 30,Rarely,"Career or education choices, I generally don’t overthink decisions",Make a pros and cons list,Often,I avoid risks whenever possible,Long-term outcomes,Not knowing possible outcomes,Show risks and possible outcomes,"Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,if it doesn't give correct answer according to human requirement.,right decision means getting growth in all areas of life and reaches to the next level.
2/11/2026 17:44:41,Student / Exploring education and career options,18–21,Rarely,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),Often,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,idk,minimising risks 
2/11/2026 18:27:00,Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Health or lifestyle choices",Delay the decision,Sometimes,I love taking risks,Long-term outcomes,Not knowing possible outcomes,Break the decision into simple steps,"No, I prefer human advice",Extremely important,Simple step-by-step guidance,Wrong opinion,Profitable to me
2/11/2026 21:35:47,Family & responsibility phase,Above 30,Rarely,I generally don’t overthink decisions,Ask friends or family,Sometimes,I prefer to play it safe,Avoiding mistakes / minimizing risk,Too many options,Break the decision into simple steps,"No, I prefer human advice",Not important,Simple step-by-step guidance,"Lack of transparency,  unreliability and ethical concern",Great decision-making comes from the ability to create the time and space to think rationally about the issue
2/11/2026 21:39:26,Family & responsibility phase,Above 30,Almost Never,I generally don’t overthink decisions,Delay the decision,Rarely,It depends on the situation,Opinions of others,Not knowing possible outcomes,Personalize advice based on my situation,"No, I prefer human advice",Not important,Simple step-by-step guidance,"Lack of transparency,  unreliability and ethical concern",Choosing the path aligns with your core values and long term goals
2/11/2026 21:39:30,Early career / Building professional experience,Above 30,Rarely,Financial or purchase decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Too many options,Break the decision into simple steps,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,"Lack of transparency, unreliability and ethical concerns","The only way to make decision is to find out which is the wrong decision, to examine that other path without fear, and only then decide"
2/11/2026 23:31:18,Student / Exploring education and career options,22–25,Very often,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),Almost always,I avoid risks whenever possible,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Important,Clear comparison of options,Relationship issues ,Knowing all consequences 
2/11/2026 23:38:12,Early career / Building professional experience,26–30,Sometimes,Health or lifestyle choices,Search online (Google / social media),Sometimes,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,Failing under pressure testing and weak citations.,After reviewing all options and comparing them thoroughly 
2/11/2026 23:42:15,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Personal or relationship decisions",Go with my gut feeling,Often,I’m okay with moderate risks,Long-term outcomes,"Not knowing possible outcomes, Too many options","Show risks and possible outcomes, Compare different options clearly","No, I prefer human advice",Not important,Clear comparison of options,Make important emotional decisions,i should feel it right in my gut
2/12/2026 0:03:21,Independent adult / Managing personal and financial decisions,Above 30,Rarely,Health or lifestyle choices,Search online (Google / social media),Rarely,I prefer to play it safe,Long-term outcomes,Fear of making the wrong choice,Compare different options clearly,"Yes, definitely",Extremely important,Simple step-by-step guidance,Can't understand the problem exactly ,It's very important. 
2/12/2026 0:15:05,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Personal or relationship decisions",Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Too many options","Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Extremely important,Clear comparison of options,"biases response, unaware of the full picture before answering",choosing a decision with the best possible outcome
2/12/2026 0:26:15,Family & responsibility phase,Above 30,Sometimes,"Personal or relationship decisions, Health or lifestyle choices",Go with my gut feeling,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,It is only a machine oriented tool or kind of robotic tool. It cannot be able to explain the human sycology. ,Positive Outcomes 
2/12/2026 1:38:25,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Go with my gut feeling,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,"Yes, definitely",Extremely important,Simple step-by-step guidance,If the AI is not giving an appropriate reason and not have enough knowledge of my question,That you should see all the possible outcomes the pro and cons and also that is the decision worth it and will benifit me 
2/12/2026 8:58:47,Family & responsibility phase,Above 30,Rarely,I generally don’t overthink decisions,Ask friends or family,Rarely,It depends on the situation,Avoiding mistakes / minimizing risk,Conflicting advice from others,Compare different options clearly,Not sure,Slightly important,Short explanations with reasoning,Unclear and biased information ,Deciding wisely 
2/12/2026 9:05:50,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions",Search online (Google / social media),Sometimes,I’m okay with moderate risks,Long-term outcomes,Fear of making the wrong choice,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly","Yes, definitely",Extremely important,Clear comparison of options,"I wouldn’t trust an AI decision support tool if it couldn’t explain its reasoning, showed clear bias, made inconsistent recommendations, or relied on outdated or low-quality data. Lack of transparency, poor accuracy, weak privacy protections, and no human oversight would also make me question its reliability and overall credibility.","Making the right decision means choosing the option that best aligns with my values, goals, and available evidence while considering the long-term impact."
2/12/2026 9:41:44,Independent adult / Managing personal and financial decisions,Above 30,Sometimes,I generally don’t overthink decisions,Make a pros and cons list,Sometimes,It depends on the situation,Long-term outcomes,Too many options,"Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Extremely important,Clear comparison of options,If AI tool does not compare risk & rewards,One must have proper reason to back his or her decisions. 
2/12/2026 13:24:42,Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Financial or purchase decisions",Go with my gut feeling,Often,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Too many options","Show risks and possible outcomes, Compare different options clearly","Yes, definitely",Important,Clear comparison of options,nothing,.
2/12/2026 13:25:24,Student / Exploring education and career options,Below 18,Rarely,Health or lifestyle choices,Make a pros and cons list,Often,I love taking risks,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Compare different options clearly","Yes, definitely",Extremely important,Clear comparison of options,When it doesn't give me a logical reason for the option it suggests.,Not regretting it later
2/12/2026 13:25:59,Student / Exploring education and career options,Below 18,Rarely,I generally don’t overthink decisions,Ask friends or family,Rarely,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Clear comparison of options,"If it is biased towards particular topics for eg bias regarding political issues, governance ",Having all the outcomes set and clear 
2/12/2026 13:29:09,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Show risks and possible outcomes,Not sure,Important,Simple step-by-step guidance,Idk,Future outcomes is positive 
2/12/2026 13:48:05,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Delay the decision,Often,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others",Show risks and possible outcomes,"Maybe, if it’s transparent",Important,Visual outcomes or scenarios,If it agrees with me all the time,"The right decision is the one that aligns with who I want to become and allows me to live with it peacefully, without regret."
2/12/2026 14:44:49,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Go with my gut feeling,Sometimes,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,Biased or inaccurate outputs,Best possible outcomes
2/12/2026 20:20:10,Student / Exploring education and career options,Above 30,Almost Never,Personal or relationship decisions,Ask friends or family,Often,I avoid risks whenever possible,Long-term outcomes,Fear of making the wrong choice,Explain why a suggestion is given,Not sure,Important,Clear comparison of options,At present not aware of AI,Final result 
2/12/2026 21:33:16,Student / Exploring education and career options,Below 18,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Sometimes,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Compare different options clearly,"Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,If it's ambiguous and giving different answers of the same situation if asked after a while,Committing to smth
2/12/2026 21:46:48,Family & responsibility phase,Above 30,Sometimes,Personal or relationship decisions,Ask friends or family,Often,It depends on the situation,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Break the decision into simple steps,"Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,If it is bias and impractical ,Something which can simplify decision making 
2/12/2026 22:19:55,Family & responsibility phase,Above 30,Sometimes,Personal or relationship decisions,Go with my gut feeling,Sometimes,It depends on the situation,Opinions of others,Not knowing possible outcomes,Personalize advice based on my situation,Not sure,Extremely important,Simple step-by-step guidance,Ai is artificial intelligence so i dont completely trust it,Making the right decisions mean taking a descision after know all the pros and cons
2/13/2026 0:09:54,Family & responsibility phase,Above 30,Sometimes,Financial or purchase decisions,Search online (Google / social media),Rarely,It depends on the situation,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Compare different options clearly,"Yes, definitely",Extremely important,Simple step-by-step guidance,Not having emotions and feelings unlike humans,Living life in a constructive way
2/13/2026 8:18:59,Independent adult / Managing personal and financial decisions,Above 30,Sometimes,Personal or relationship decisions,Make a pros and cons list,Sometimes,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,Conflicting advice from others,Personalize advice based on my situation,Not sure,Extremely important,Simple step-by-step guidance,Lack of transparency or explainability regarding how the AI reached its conclusion would be the primary reason to distrust it.,It means using the facts to pick the choice that does the most good and the least harm.
